Unnamed: 0,Last avail. year
500.0,2022-01-01
502.0,2022-01-01
504.0,2007-01-01
505.0,2022-01-01
506.0,2014-01-01
507.0,2007-01-01
508.0,2022-01-01
512.0,2021-01-01
513.0,2018-01-01
514.0,2011-01-01
515.0,2008-01-01
516.0,2021-01-01
517.0,2016-01-01
518.0,2016-01-01
520.0,2006-01-01
524.0,2015-01-01
525.0,2007-01-01
528.0,2021-01-01
532.0,2022-01-01
534.0,2022-01-01
535.0,2019-01-01
536.0,2014-01-01
537.0,2019-01-01
538.0,2016-01-01
539.0,2020-01-01
540.0,2012-01-01
545.0,2020-01-01
546.0,2021-01-01
547.0,2012-01-01
548.0,2019-01-01
549.0,2021-01-01
551.0,2014-01-01
552.0,2022-01-01
555.0,2015-01-01
557.0,2019-01-01
560.0,2018-01-01
563.0,2020-01-01
566.0,2013-01-01
567.0,2005-01-01
568.0,2021-01-01
571.0,2020-01-01
575.0,2021-01-01
577.0,2021-01-01
580.0,2021-01-01
581.0,2019-01-01
582.0,2016-01-01
584.0,2021-01-01
585.0,2018-01-01
586.0,2011-01-01
587.0,2020-01-01
589.0,2018-01-01
590.0,2021-01-01
593.0,2021-01-01
594.0,2020-01-01
596.0,2021-01-01
601.0,2009-01-01
602.0,2020-01-01
603.0,2016-01-01
604.0,2009-01-01
605.0,2011-01-01
607.0,2011-01-01
609.0,2005-01-01
610.0,2020-01-01
612.0,2012-01-01
614.0,2011-01-01
615.0,2018-01-01
616.0,2016-01-01
618.0,2022-01-01
620.0,2012-01-01
623.0,2021-01-01
624.0,2018-01-01
625.0,2021-01-01
627.0,2018-01-01
631.0,2011-01-01
636.0,2014-01-01
638.0,2017-01-01
641.0,2022-01-01
642.0,2021-01-01
644.0,2018-01-01
645.0,2014-01-01
646.0,2020-01-01
647.0,2020-01-01
648.0,2021-01-01
650.0,2016-01-01
654.0,2011-01-01
656.0,2013-01-01
657.0,2013-01-01
658.0,2021-01-01
659.0,2021-01-01
660.0,2019-01-01
661.0,2003-01-01
662.0,2013-01-01
663.0,2019-01-01
664.0,2006-01-01
665.0,2019-01-01
668.0,2002-01-01
671.0,2009-01-01
672.0,2020-01-01
673.0,2004-01-01
676.0,2009-01-01
677.0,2021-01-01
680.0,2022-01-01
681.0,2011-01-01
683.0,2021-01-01
684.0,2022-01-01
685.0,2011-01-01
687.0,2020-01-01
688.0,2011-01-01
693.0,2011-01-01
694.0,2020-01-01
695.0,2022-01-01
696.0,2015-01-01
698.0,2020-01-01
702.0,2016-01-01
704.0,2003-01-01
706.0,2019-01-01
708.0,2014-01-01
709.0,2022-01-01
710.0,2014-01-01
711.0,2018-01-01
713.0,2021-01-01
714.0,2013-01-01
717.0,2021-01-01
718.0,2014-01-01
720.0,2012-01-01
722.0,2021-01-01
724.0,2013-01-01
725.0,2021-01-01
727.0,2021-01-01
728.0,2021-01-01
729.0,2016-01-01
730.0,2017-01-01
731.0,2022-01-01
733.0,2016-01-01
734.0,2011-01-01
735.0,2021-01-01
737.0,2015-01-01
739.0,2017-01-01
740.0,2005-01-01
741.0,2022-01-01
742.0,2010-01-01
745.0,2019-01-01
747.0,2013-01-01
749.0,2016-01-01
750.0,2020-01-01
752.0,2020-01-01
753.0,2022-01-01
756.0,2022-01-01
758.0,2018-01-01
759.0,2021-01-01
760.0,2016-01-01
761.0,2021-01-01
764.0,2021-01-01
766.0,2021-01-01
767.0,2020-01-01
768.0,2020-01-01
769.0,2018-01-01
770.0,2017-01-01
771.0,2016-01-01
772.0,2020-01-01
774.0,2020-01-01
779.0,2022-01-01
781.0,2015-01-01
783.0,2022-01-01
786.0,2020-01-01
787.0,2015-01-01
788.0,2022-01-01
789.0,2017-01-01
790.0,2021-01-01
791.0,2013-01-01
792.0,2003-01-01
795.0,2014-01-01
801.0,2011-01-01
802.0,2022-01-01
803.0,2022-01-01
804.0,2002-01-01
805.0,2014-01-01
808.0,2006-01-01
809.0,2020-01-01
810.0,2015-01-01
811.0,2019-01-01
814.0,2008-01-01
815.0,2008-01-01
819.0,2012-01-01
820.0,2015-01-01
824.0,2021-01-01
826.0,2004-01-01
827.0,2021-01-01
829.0,2014-01-01
831.0,2012-01-01
840.0,2016-01-01
841.0,2020-01-01
842.0,2014-01-01
843.0,2013-01-01
845.0,2017-01-01
848.0,2019-01-01
849.0,2006-01-01
852.0,2016-01-01
853.0,2008-01-01
854.0,2020-01-01
855.0,2022-01-01
859.0,2019-01-01
860.0,2021-01-01
863.0,2014-01-01
864.0,2021-01-01
865.0,2016-01-01
866.0,2017-01-01
868.0,2020-01-01
