index,bankruptcy,active,bankruptcy_indicator,time_to_event,mean_operating_revenue,mean_cash_flow,mean_total_assets,mean_n_employees,n_legal_events,peer_group_size
8044,2013-12-26,2008-09-06,1,1937.0,0.0,7.512344476437571,49.10292356755742,0.0,4.0,180786
8049,2013-12-17,2011-09-19,1,820.0,0.0,0.0,0.0,0.0,4.0,162481
8050,2013-10-24,2011-07-04,1,843.0,0.0,0.0,0.0,0.0,8.0,166697
8051,2015-09-28,2002-10-10,1,4736.0,0.0,-7.653462974119184,18.18068863036633,0.0,1.0,1481792
8066,2014-06-01,2011-08-24,1,1012.0,0.0,0.0,0.0,0.0,4.0,42968
8071,2015-12-16,2001-12-19,1,5110.0,3461.4002665760113,-57.575184031152716,1582.0396659260998,19.333333333333332,24.0,6621
8072,2014-08-04,2006-05-01,1,3017.0,0.0,-1129.4555554368974,11341.6450870903,0.0,1.0,272593
8074,2014-10-06,2012-03-30,1,920.0,0.0,-1.23786103579998,17.53245045397282,0.0,16.0,2693579
8077,2014-04-30,1998-12-28,1,5602.0,0.0,1.2793728671312317,95.91363768527506,1.5,10.0,134241
8084,2019-04-04,2011-11-22,1,2690.0,0.0,-1.2471546018838884,44.618840348315246,0.0,8.0,277680
8088,2018-03-05,2007-01-29,1,4053.0,0.0,2.173799171113967,16.769781543207188,0.0,7.0,974432
8089,2021-08-03,2009-11-03,1,4291.0,0.0,0.0,9.199563138437275,0.3333333333333333,1.0,48957
8090,2016-06-29,1991-06-20,1,9141.0,0.0,0.0,76.79336737804412,0.0,8.0,10600
8091,2013-04-23,2004-08-16,1,3172.0,0.0,-24.77562544455528,155.77932414233675,2.0,34.0,79770
8097,2016-07-11,2001-10-23,1,5375.0,0.0,-3.2559787120103785,286.0003476263046,2.0,16.0,205941
8099,,2019-01-01,0,1430.0,0.0,0.0,0.0,0.3333333333333333,1.0,41444
8100,2016-05-31,2016-05-31,1,0.0,0.0,0.0,0.0,0.0,19.0,2693579
8110,2016-10-02,1992-01-10,1,9032.0,0.0,17.79879399394988,877.152328717327,9.0,6.0,122048
8112,2013-07-23,2008-11-04,1,1722.0,0.0,-3.4576567679405157,50.9602869253874,1.1666666666666667,4.0,125994
8122,2013-09-30,2008-11-20,1,1775.0,0.0,-15.982531087613106,99.56776196613308,0.0,8.0,509413
8123,2018-11-06,1989-09-26,1,10633.0,0.0,0.0,8.965352536749844,0.0,3.0,56439
8124,2015-10-07,2004-04-28,1,4179.0,3235.1182903861186,19.556718487739566,197.9768523331403,2.5,12.0,95523
8126,2013-05-28,1999-04-23,1,5149.0,0.0,19.124753438663483,118.97828789305709,0.16666666666666666,4.0,316913
8128,2013-04-15,2006-05-01,1,2541.0,0.0,12.031152845454216,70.31991093330386,0.0,10.0,202774
8129,2016-03-03,2010-04-22,1,2142.0,0.0,11.385417250490189,77.39616364946363,0.0,1.0,459077
8131,2014-07-04,2010-12-23,1,1289.0,0.0,0.0,0.0,0.0,5.0,205941
8139,2014-02-04,2014-02-04,1,0.0,0.0,0.9720383358478589,15.696148787426955,0.0,4.0,1355224
8140,2014-05-26,2005-11-07,1,3122.0,33.897225429058096,-4.97510680847168,17.167900459718698,0.0,4.0,2693579
8141,2014-10-23,2001-06-18,1,4875.0,0.0,288.9224944243664,8995.17351907868,0.8333333333333334,12.0,16031
8145,2014-05-02,2009-05-02,1,1826.0,11799.390769242651,-51.5806971502304,4306.039919004918,1.0,4.0,34623
8147,2015-01-29,1995-05-22,1,7192.0,0.0,21.551668373084073,124.294835189724,3.0,10.0,2693579
8149,2013-11-26,1990-08-11,1,8508.0,0.0,4.046059415936462,32.90717679710387,1.0,18.0,267025
8157,,2017-12-14,0,1813.0,0.0,0.0,0.0,0.5,7.0,28216
8158,2015-01-26,1993-02-18,1,8012.0,0.0,-95.11909319744103,479.7627867799042,4.666666666666667,8.0,118265
8160,,2021-08-19,0,469.0,0.0,0.0,0.0,0.3333333333333333,1.0,61521
8166,2014-02-27,2006-01-23,1,2957.0,0.0,7.665699802398683,46.21382408111096,0.0,4.0,21185
8167,2014-06-01,2005-04-21,1,3328.0,0.0,-3.2440890930414183,216.87362666060898,1.3333333333333333,17.0,509413
8168,2020-03-19,2008-06-27,1,4283.0,127.44619755427033,23.736777961111,51.46330454595081,0.3333333333333333,1.0,384712
8175,2013-10-29,2005-07-13,1,3030.0,0.0,-97.69407970633496,175.24008836762906,1.6666666666666667,8.0,1125128
8176,2018-10-07,2003-02-04,1,5724.0,0.0,16.22998044919967,82.72175664427274,0.0,11.0,976561
8178,2015-10-22,2015-10-22,1,0.0,71.79590288281433,3.368277507185934,71.84425015509149,0.6666666666666666,6.0,2693579
8179,2017-06-27,2008-05-02,1,3343.0,0.0,17.975834621453263,92.80487183282384,0.0,4.0,1582861
8182,2013-10-22,2004-09-22,1,3317.0,0.0,107.30709318585384,610.7411429770231,2.8333333333333335,13.0,29329
8195,,2016-05-26,0,2380.0,0.0,0.0,0.0,0.3333333333333333,1.0,509413
8207,2014-08-21,2004-12-10,1,3541.0,0.0,4.81627108719349,69.20987037630078,0.16666666666666666,5.0,969407
8214,2013-08-20,1994-08-30,1,6930.0,0.0,27.98080367541312,137.02198692610253,1.3333333333333333,4.0,183200
8217,2018-09-24,2012-12-09,1,2115.0,0.0,-0.624456464195252,4.4409777076006005,0.0,7.0,179128
8222,2016-09-20,1998-03-02,1,6777.0,0.0,14.713313286471376,240.73826227602981,1.3333333333333333,11.0,441417
8236,,2020-02-17,0,1018.0,0.0,0.0,0.0,0.5,3.0,181540
8240,2017-01-24,2002-03-25,1,5419.0,0.0,12.89643603405952,169.57397375485914,0.0,4.0,40576
8242,2014-04-29,2014-04-29,1,0.0,0.0,8.622447636127466,51.63243271901608,0.0,6.0,180786
8257,2018-03-27,2002-05-23,1,5787.0,0.0,-5.064946780991546,168.24373544521325,0.0,4.0,205941
8259,2014-04-12,2010-11-26,1,1233.0,0.0,0.0,0.0,0.0,17.0,2693579
8260,2016-05-31,2008-07-30,1,2862.0,0.0,14.823888350534428,56.90323037581444,2.3333333333333335,28.0,239881
8266,2013-09-07,2006-10-01,1,2533.0,0.0,-2625.624460392,1185.9669920337915,0.6666666666666666,7.0,969407
8270,2017-05-17,1980-12-23,1,13294.0,8892.69297038375,145.50642451920493,4379.763731061148,25.833333333333332,13.0,115726
8274,2017-03-23,1989-01-26,1,10283.0,5885.4514267829245,-402.4737502208,8124.484097472836,42.166666666666664,13.0,164284
8280,2020-05-05,2000-12-21,1,7075.0,0.0,4.9897295506477395,205.0614611349106,2.0,43.0,1481792
8286,2016-06-23,2015-01-28,1,512.0,0.0,0.0,0.0,0.0,8.0,1582861
8287,2015-06-22,2012-03-26,1,1183.0,0.0,0.0,0.0,0.0,8.0,43619
8295,2015-02-06,1988-05-02,1,9776.0,0.0,-6.9679361805915905,2308.021079624654,5.666666666666667,14.0,189263
8296,2016-09-26,2011-06-04,1,1941.0,28.447362484236503,3.2522546658277447,41.03108634798526,0.16666666666666666,8.0,278208
8300,,2017-10-22,0,1866.0,0.0,0.0,0.0,0.3333333333333333,3.0,625062
