"","index","status","end_date","start_date","years_to_event","event_indicator","total_liabilities_by_net_assets","cash_by_total_assets","cash_by_current_liabilities","current_assets_by_current_liabilities","tax","financial_expenses_by_total_assets","EBIT","working_capital_by_total_assets","size_classification","income_tax_by_total_assets","sector","cooperative","nonprofit","other","private","public","censor","size_small","size_large","size_v_large","EBITDA","log_cash_by_current_liabilities","log_cash_by_total_assets","log_total_liabilities_by_net_assets","log_total_liabilities_by_total_assets"
"1",1,"Merger by absorption","2021-10-28","1990-11-26",31,0,9288.99737582449,0.000173791654333644,0.000202011494337883,1.12513486336754,11279000,0.0152821740461621,37832666.6666667,-0.0694129243630879,"Very large",0.00861177968890496,"C - Manufacturing",0,0,0,0,1,0,0,0,1,36334666.6666667,-8.50718595951918,-8.65765336507969,9.13658590088393,9.13658590088393
"2",2,"Provisional suspension","2022-09-14","1969-12-08",53,1,3588.66162267069,0.0000154415399500598,0.0000248527771733217,1.44848561092373,54333.3333333333,0.00510598564324434,-50951333.3333333,-0.0635829358255557,"Very large",0.000172171216352674,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,0,0,0,1,-49643333.3333333,-10.6025410541883,-11.0784492806429,8.18553460491698,8.18553460491698
"3",3,"Merger by absorption","2019-02-08","2005-11-17",14,0,4288.93954635428,0.000119171195163887,0.000686147881533594,2.34243957156937,6537333.33333333,0.024776380821239,25519000,0.180557946164948,"Very large",0.0185477662671249,"C - Manufacturing",0,0,0,1,0,0,0,0,1,26160333.3333333,-7.28441738272174,-9.03494948384508,8.36379478937308,8.36379478937308
"4",4,"Merger by absorption","2022-09-29","1924-12-11",98,0,2237.78484849686,0.000721171416834292,0.0013119666792296,1.8129507758418,5478000,0.0246161146839675,10855333.3333333,-0.247986726917302,"Very large",0.0290994985409525,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,0,1,4355666.66666667,-6.6362279857114,-7.23463370020713,7.71324174863699,7.71324174863699
"5",5,"Bankruptcy","2020-08-03","2013-01-25",7,2,15486.6119425909,0.0000626346464727721,0.0000820245587350332,1.08456153465397,114666.666666667,0.0144644059466494,12116000,-0.0153503866247773,"Very large",0.000379076310044751,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,1,0,0,1,16958000,-9.40849185877153,-9.67819197492813,9.64773118402484,9.64773118402484
"6",6,"Merger by absorption","2022-09-30","2017-07-13",5,0,27259.7477573497,0.0000796337778067396,0.00017541933122322,1.15591513611667,4790666.66666667,0.00690902278299543,7994333.33333333,0.0276849642004773,"Very large",0.0234134580139614,"H - Transportation and storage",0,0,0,1,0,0,0,0,1,34352333.3333333,-8.64833127188007,-9.43807221081675,10.2131664519924,10.2131664519924
"7",7,"Consolidation of shares in one person's possession","2019-03-29","1977-04-01",42,3,-3780.84232383876,0.00000036215878473839,0.000000612000591824748,0.553042293051888,54333.3333333333,0.00575474288716167,-58071000,0.132351126870988,"Very large",0.000216233999678965,"C - Manufacturing",0,0,0,1,0,0,0,0,1,-40104333.3333333,-14.3065325874006,-14.8311830894175,NA,NA
"8",8,"Merger by absorption","2022-10-28","2012-10-09",10,0,-9760.70452474947,0.000138945927446954,0.000189727685967968,0.865032499256553,133666.666666667,0.0240184182689316,206333.333333333,0.0187293883392446,"Very large",0.0124758882459088,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,0,0,0,1,1613666.66666667,-8.56992074561036,-8.88142571169105,NA,NA
"9",9,"Liquidation","2021-06-30","2003-01-31",18,4,9031.90465615515,0.000480280628134938,0.000545857629897349,1.12582670417497,3333.33333333333,0.0000327836606235452,-1080666.66666667,0.0375618791594269,"Very large",0.0000819591515588631,"J - Information and communication",0,1,0,0,0,0,0,0,1,-1366333.33333333,-7.51315236732461,-7.64113998295107,9.1085185495465,9.1085185495465
"10",10,"Merger by absorption","2021-08-20","2008-08-21",13,0,5409.09090909091,0.0000189187974655103,0.0000232102985362626,1.22681037572015,1578000,0.00457241720217499,5275666.66666667,-0.122399227070507,"Very large",0.0531838403810722,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,0,1,5543333.33333333,-10.6709144753624,-10.8753545552659,8.59583631873535,8.59583631873535
"11",11,"Merger by absorption","2022-09-30","2006-06-21",16,0,1934.95466090776,0.000155599804683784,0.000323946451204056,2.07595321081538,1839333.33333333,0.000691216477586196,6576333.33333333,0.33788437026374,"Very large",0.0349920414983544,"M - Professional, scientific and technical activities",0,0,0,1,0,0,0,0,1,6785666.66666667,-8.03493232989276,-8.76822320146637,7.56783917413395,7.56783917413395
"12",12,"Bankruptcy","2020-08-03","1987-12-29",33,2,19510.9934199968,0.00002336045009994,0.0000360662399674896,1.0797648074774,43333.3333333333,0.0254044894836847,183666.666666667,0.331323566910416,"Very large",0.000534658188907076,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,1,0,0,1,4677000,-10.2301533111359,-10.664466132213,9.87873335082402,9.87873335082402
"13",13,"Merger by absorption","2019-07-01","1921-06-04",98,0,4708.08438181855,0.000180590762074197,0.000456175140794797,1.53660938230813,62000,0.000818607955006881,427333.333333333,-0.0331525393630234,"Very large",0.00020140354448582,"C - Manufacturing",0,0,0,0,1,0,0,0,1,11630333.3333333,-7.69263374149965,-8.61927706959533,8.45703639129061,8.45703639129061
"14",14,"Merger by absorption","2022-10-01","1992-07-29",30,0,4388.81736251609,0.00000368787193026569,0.00000719407656552916,1.44449115922734,912666.666666667,0.000886047152076823,11992333.3333333,-0.0294011997557384,"Very large",0.0163918723134212,"J - Information and communication",0,0,0,0,1,0,0,0,1,13750333.3333333,-11.8422525697771,-12.5104609789397,8.38681507627196,8.38681507627196
"15",15,"Merger by absorption","2021-06-30","1969-11-26",52,0,4035.80657069029,0.00000292691850361291,0.00000490923037586295,1.41984147276911,8666.66666666667,0.00642296004959501,2000,0.473540859985569,"Very large",0.000264235698242833,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,0,1,663000,-12.2243933747039,-12.7415603936169,8.30296145433153,8.30296145433153
"16",16,"Liquidation","2020-10-13","1992-03-26",28,4,81667.6579925651,0.000016760285134237,0.0000195130740776071,1.01424528601863,84000,0.0239705761860109,-8089666.66666667,0.0418870569813279,"Very large",0.00229418351647351,"M - Professional, scientific and technical activities",0,0,0,0,1,0,0,0,1,-7397000,-10.8444258515379,-10.9964984502724,11.3104133394696,11.3104133394696
"17",17,"Merger by absorption","2022-04-01","2004-04-26",18,0,1903.77587066956,0.0000518806883201608,0.000261150440095825,3.64404726656079,4000,0.000700512283028352,-566333.333333333,0.472385912751462,"Very large",0.0000641690640942002,"D - Electricity, gas, steam and air conditioning supply",0,0,0,0,1,0,0,0,1,2751000,-8.250413917861,-9.86656393106047,7.55159449343788,7.55159449343788
"18",18,"Demerger","2019-06-25","1993-03-22",26,5,11426.7765999215,0.0000129077331867326,0.0000209514602814597,1.14206837575059,219333.333333333,0.00454691222283306,576000,0.326220908924317,"Very large",0.00753619204691222,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",1,0,0,0,0,0,0,0,1,1615333.33333333,-10.773302210853,-11.2576839543684,9.34371470476058,9.34371470476058
"19",19,"Merger by absorption","2021-04-01","1973-12-13",48,0,3796.69433469861,0.000079859089043123,0.00012279620087785,1.40501460636221,971000,0.0118094074293297,3366333.33333333,0.295817541313832,"Very large",0.027809865676344,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,0,1,3585000,-9.0049844802066,-9.43524686331734,8.24188605520011,8.24188605520011
"20",20,"Merger by absorption","2019-09-26","1984-03-28",35,0,12962.2294977242,0.0000514150536574548,0.0000679254496622447,1.10191259054285,885333.333333333,0.00515012998533815,1941000,0.119124477902493,"Very large",0.0163621354558111,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,0,0,0,1,2935333.33333333,-9.59709978269226,-9.87557955566887,9.46979498425633,9.46979498425633
"21",21,"Merger by absorption","2021-02-19","1989-12-29",32,0,11600.9159654915,0.00000259821338401227,0.00000334594466777016,1.11101915346418,166333.333333333,0.00408552987945392,18000,0.319029388272234,"Very large",0.00458130204460113,"J - Information and communication",0,0,0,0,1,0,0,0,1,1128000,-12.6077614923654,-12.8606865091348,9.35883933651945,9.35883933651945
"22",22,"Merger by absorption","2019-07-01","1954-12-06",65,0,1803.3263557491,0.00045200842036115,0.00145054379072442,2.77953717899578,6961666.66666667,0.378543008786139,11909333.3333333,0.219922216167392,"Very large",0.0779517919394451,"C - Manufacturing",0,0,0,0,1,0,0,0,1,14829000,-6.53581676476931,-7.70180974918797,7.49738821389456,7.49738821389456
"23",23,"Merger by absorption","2019-12-27","2016-09-14",3,0,2502.57361952449,0.00000432343188146241,0.00000828996083060578,1.76616408220207,276666.666666667,0.0467182493598802,1272333.33333333,0.286353905779967,"Large",0.0116131018175204,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,1838333.33333333,-11.700465313725,-12.3514610540852,7.82507492914807,7.82507492914807
"24",24,"Bankruptcy","2020-06-09","2002-03-18",18,2,-6341.11631870473,0.00030397914342924,0.000321539751808839,0.833203030604557,5500,0.0211656565385081,-4332666.66666667,-0.0896214371144827,"Very large",0.000221735449451037,"H - Transportation and storage",0,0,0,0,1,1,0,0,1,-2485666.66666667,-8.04238937711245,-8.09855146605229,NA,NA
"25",25,"Merger by absorption","2020-11-18","1948-11-12",72,0,2481.82303178111,0.000261515784301683,0.000478830475119483,1.73775653640708,522666.666666667,0.0117614543667854,1678666.66666667,0.440302174180076,"Large",0.0481513327601032,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,1732000,-7.64416393735132,-8.24901591566264,7.81674866257029,7.81674866257029
"26",26,"Bankruptcy","2020-03-12","1975-12-03",45,2,-48246.6642625316,0.000255718001614495,0.000291836560607353,0.976354175552333,460000,0.0124076897778575,1210000,0.415381050617395,"Large",0.0103148264418333,"C - Manufacturing",0,0,0,1,0,1,0,1,0,3577000,-8.13931663634734,-8.27143527683704,NA,NA
"27",27,"Bankruptcy","2021-02-19","1950-11-24",71,2,-9839.64932126697,0.00006634955307102,0.0000734992119967525,0.887419010777337,6333.33333333333,0.0134509815192711,-6367000,0.136751645445923,"Large",0.000273043428275803,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,1,0,1,0,-4456333.33333333,-9.51823587293557,-9.62057353313911,NA,NA
"28",28,"Merger by absorption","2022-10-28","1981-09-03",41,0,-4313.90611160319,0.0000482917214191853,0.0000852791878172589,0.590645395213923,0,0.023242444152431,179333.333333333,-0.122700394218134,"Large",0,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,1201000,-9.36958012131091,-9.93825041118498,NA,NA
"29",29,"Bankruptcy","2020-11-10","1983-05-27",37,2,11789.4464179988,0.0000316637267026158,0.0000365599971007139,1.09793788279636,165000,0.0058694655961431,-2101333.33333333,0.0648528867098977,"Large",0.00310736413913458,"J - Information and communication",0,0,0,1,0,1,0,1,0,548666.666666667,-10.2165558906805,-10.3603388003119,9.37496003890903,9.37496003890903
"30",30,"Merger by absorption","2020-06-30","1990-10-22",30,0,3915.589521024,0.000203519565636445,0.00032538877402951,1.4083186727107,624333.333333333,0.00628895457174067,2105333.33333333,0.411271927006361,"Large",0.0150436933753132,"C - Manufacturing",0,0,0,0,1,0,0,1,0,2724666.66666667,-8.03048986276181,-8.49974841206968,8.27272117717162,8.27272117717162
"31",31,"Merger by absorption","2020-05-29","2015-06-04",5,0,4474.10636442895,0.0000993998207256713,0.00013432521395655,1.30201448321264,240000,0.0858373280330488,1680000,-0.154682567520168,"Large",0.014030164854437,"C - Manufacturing",0,0,0,0,1,0,0,1,0,1742666.66666667,-8.91524672852318,-9.21636024786805,8.40606191566756,8.40606191566756
"32",32,"Merger by absorption","2022-03-31","1989-12-18",33,0,3818.63837178567,0.0000230497681179484,0.0000392754844144903,1.44623420387532,2730333.33333333,0.0125977711635634,6734333.33333333,0.257433574938939,"Large",0.0809955601261755,"M - Professional, scientific and technical activities",0,0,0,0,1,0,0,1,0,9315666.66666667,-10.1449100399842,-10.6778548485311,8.2476491908817,8.2476491908817
"33",33,"Merger by absorption","2020-07-24","2012-06-01",8,0,3418.65107657208,0.0000175808133472367,0.0000308915680310748,1.51405328154201,238333.333333333,0.012992700729927,780666.666666667,0.596558915537018,"Large",0.0149113660062565,"C - Manufacturing",0,0,0,0,1,0,0,1,0,1341666.66666667,-10.3850272905521,-10.9487024012919,8.13700133019687,8.13700133019687
"34",34,"Merger by absorption","2021-07-30","1989-04-24",32,0,6439.26682473099,0.000309737583731041,0.000372255506008102,1.18662559144909,482000,0.000778893404897115,1391333.33333333,0.492820018976676,"Large",0.0102389078498294,"L - Real estate activities",0,0,0,0,1,0,0,1,0,1493000,-7.89593009535279,-8.07978512306541,8.77016996552586,8.77016996552586
"35",35,"Merger by absorption","2022-09-28","1987-10-30",35,0,2003.66023984203,0.0000162246614854579,0.0000356394867913902,2.09632341294285,323000,0.0167935261597628,2225000,0.314309750821248,"Large",0.00776380097748578,"C - Manufacturing",0,0,0,0,1,0,0,1,0,2574666.66666667,-10.242056355258,-11.028978159354,7.60273090683407,7.60273090683407
"36",36,"Merger by absorption","2020-07-02","1994-12-13",26,0,8522.97925608011,0.000204162776303228,0.000250244316428351,1.14478963069643,875333.333333333,0.0333609592849425,2760333.33333333,0.235708815476128,"Large",0.0275490185793267,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,3722666.66666667,-8.29307285160188,-8.49659295923638,9.05052123664395,9.05052123664395
"37",37,"Merger by absorption","2020-07-01","2012-12-20",8,0,-9654.86018641811,0.00039024659347934,0.000471505698860228,1.07311870959142,166333.333333333,0.00394439234291389,1713333.33333333,0.100375131020025,"Very large",0.0137639984553429,"M - Professional, scientific and technical activities",0,0,0,1,0,0,0,0,1,2108666.66666667,-7.65957936930372,-7.84873172767963,NA,NA
"38",38,"Merger by absorption","2022-08-30","1983-11-23",39,0,-32038.3206537053,0.0000162835080560051,0.0000928326104941212,1.0953144977312,686333.333333333,0.00933564342503342,2108666.66666667,0.0148543586857103,"Large",0.00905421093365229,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,3119000,-9.28471257371416,-11.0253577380473,NA,NA
"39",39,"Merger by absorption","2021-10-01","1989-03-20",32,0,5207.9826228618,0.00000144674417392211,0.00000247895124729214,1.32903052906626,707333.333333333,0.00161618268077785,2019666.66666667,0.155401178249309,"Large",0.0276575778113758,"C - Manufacturing",0,0,0,0,1,0,0,1,0,3631333.33333333,-12.9076749713845,-13.4461949235114,8.55794784725876,8.55794784725876
"40",40,"Merger by absorption","2021-09-29","1989-01-04",32,0,3143.32678506996,0.000122302433549309,0.000187879619107332,1.48875347780085,218000,0.00668333248303658,876333.333333333,0.19621447885312,"Large",0.00834141115249222,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,1082666.66666667,-8.5797091241264,-9.00901361727362,8.05303700373452,8.05303700373452
"41",41,"Merger by absorption","2022-09-28","2010-11-29",12,0,6140.6945681211,0.000105336426914153,0.000137294927043169,1.21225523550314,232666.666666667,0.0093677494199536,1122000,0.185904872389791,"Large",0.0202436194895592,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,1313000,-8.89337919384695,-9.15835126403858,8.72269313658722,8.72269313658722
"42",42,"Merger by absorption","2022-07-29","2000-09-21",22,0,27896.2675714978,0.000062606429192007,0.0000754112771568504,1.04317886893549,109000,0.00147697654213727,633333.333333333,0.464847958297133,"Large",0.00568201563857515,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,751666.666666667,-9.49255372971954,-9.67864258238407,10.2362481800609,10.2362481800609
"43",43,"Merger by absorption","2019-12-31","1983-12-23",37,0,7291.69370538611,0.0000423026149898397,0.0000702930520296749,1.22788553964459,274666.666666667,0.022886723327252,-447000,0.444978418546701,"Large",0.0122220738960827,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,1794000,-9.56283759718027,-10.0706616537321,8.89449113071807,8.89449113071807
"44",44,"Merger by absorption","2019-06-14","1948-06-28",71,0,-14529.2006525285,0.00000848827809215845,0.0000128553938239695,1.20184328662767,246333.333333333,0.00442378514326776,501333.333333333,0.372136890326058,"Large",0.0165948082277913,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,766000,-11.2617470818565,-11.6768243942111,NA,NA
"45",45,"Merger by absorption","2021-12-23","1995-02-23",26,0,12447.2329472329,0.0000238673766564993,0.0000381479645237702,1.1284636148295,160000,0.00927122645573765,648000,0.145995967533475,"Large",0.00827172620586259,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,1511666.66666667,-10.1740381562111,-10.6429980249309,9.42925362395664,9.42925362395664
"46",46,"Merger by absorption","2020-07-24","2015-04-16",5,0,83737.4301675978,0.00000308559610380946,0.00000317853031630672,1.01230177138635,165666.666666667,0.0039528987924478,526333.333333333,0.251717926479418,"Large",0.00828941223563947,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,608000,-12.6590916326866,-12.6887656927543,11.335441350872,11.335441350872
"47",47,"Bankruptcy","2022-09-15","1991-10-17",31,2,2375.2792256143,0.00000224385414948028,0.00000391987318057357,1.73546620550512,50333.3333333333,0.0856624319419238,827666.666666667,0.704174228675136,"Large",0.0024913380630259,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,1,0,1,0,1020333.33333333,-12.4494512565797,-13.0073155681914,7.77287027823779,7.77287027823779
"48",48,"Merger by absorption","2021-12-15","1953-08-04",68,0,1905.07657622639,0.0000000306059987757601,0.0000000719614286742306,2.23418647604884,-3000,0.00549887778004489,-1773666.66666667,0.0408284023668639,"Large",-0.0000918179963272802,"H - Transportation and storage",0,0,0,0,1,0,0,1,0,-1512333.33333333,-16.4471355743337,-17.3020698087776,7.55227748424707,7.55227748424707
"49",49,"Merger by absorption","2019-06-07","1996-04-12",23,0,-76008.8495575221,0.0000553032949120969,0.0000612429087158329,0.987235688499226,28333.3333333333,0.00721853533589475,114333.333333333,0.122249388753056,"Large",0.00494818954476656,"C - Manufacturing",0,0,0,0,1,0,0,1,0,172333.333333333,-9.70066249131004,-9.80267806871372,NA,NA
"50",50,"Merger by absorption","2021-12-24","1981-12-16",40,0,31423.7831325301,0.0000249208833459731,0.000158788091992437,1.21192266537678,-97333.3333333333,0.00937514138243844,-12600000,0.0231663991742882,"Very large",-0.00022391144149125,"M - Professional, scientific and technical activities",0,0,0,0,1,0,0,0,1,-329666.666666667,-8.74793999941611,-10.5998044174031,10.355320309798,10.355320309798
"51",51,"Merger by absorption","2020-12-31","2005-03-14",16,0,2021.47872779843,0.0000540571220996231,0.00012646059060973,2.15726577437859,35333.3333333333,0.00224765018389865,478666.666666667,0.446805612314399,"Large",0.00240657494437633,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,716333.333333333,-8.97557983501631,-9.82546925383411,7.6115845660467,7.6115845660467
"52",52,"Merger by absorption","2021-07-27","2008-04-26",13,0,1791.36486102273,0.000080408428562791,0.00025839121775878,2.79387477534366,3377333.33333333,0.0144053449422577,11377666.6666667,0.179174980349477,"Large",0.0765765765765766,"C - Manufacturing",0,0,0,0,1,0,0,1,0,11795333.3333333,-8.26103577363502,-9.4283915544034,7.49073310047678,7.49073310047678
"53",53,"Merger by absorption","2019-01-01","1990-12-04",29,0,-8072.64975128537,0.000119541015523866,0.000208428883552121,0.786172152904426,1000,0.000072493035490519,1633333.33333333,-0.000667971541305496,"Very large",0.0000155342218908255,"H - Transportation and storage",0,0,0,0,1,0,0,0,1,7165000,-8.47591266098946,-9.03185101934019,NA,NA
"54",54,"Liquidation","2021-12-29","2007-02-14",14,4,-101547.169811321,0.000238294314381271,0.000279472651993898,0.988450642841578,0,0.0162578966926793,-132333.333333333,0.160720921590487,"Large",0,"C - Manufacturing",0,0,0,0,1,0,0,1,0,-57666.6666666667,-8.18260611633205,-8.34200403322406,NA,NA
"55",55,"End of suspension","2022-04-14","2007-01-02",15,6,21509.122502172,0.000102637637839803,0.000119943356148218,1.07099362756667,128000,0.00282748313608272,304333.333333333,0.143151431918245,"Large",0.0155107646322252,"D - Electricity, gas, steam and air conditioning supply",0,0,0,1,0,0,0,1,0,428000,-9.02849095872263,-9.18430585195326,9.97623242655154,9.97623242655154
"56",56,"Legal dissolution by expiry","2019-12-22","1989-03-20",30,7,1909.9078685234,0.000287817955989337,0.00536714895449918,18.6476329391495,1221333.33333333,0.0136117238577103,3339666.66666667,0.00145886770028064,"Large",0.00192345852962515,"M - Professional, scientific and technical activities",0,0,0,0,1,0,0,1,0,3349000,-5.22745843239967,-8.15318237494527,7.55481028350208,7.55481028350208
"57",57,"Merger by absorption","2021-06-29","1976-10-29",45,0,1264.09876147341,0.00000152197349229501,0.00000804739018665474,5.18805186095898,1136666.66666667,0.014289640010992,4210666.66666667,0.467626355507642,"Large",0.0360411778383749,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,0,0,1,0,4358333.33333333,-11.7301627195137,-13.3955027150398,7.14211470573156,7.14211470573156
"58",58,"Merger by absorption","2019-07-30","1965-07-26",54,0,9084.89035120368,0.00000297432250177394,0.0000161707056307912,1.59845866001425,1757333.33333333,0.0533542655717664,4823000,-0.0435578468854829,"Large",0.00863946458917478,"J - Information and communication",0,0,0,1,0,0,0,1,0,23192333.3333333,-11.0323092470595,-12.7254942753974,9.11436791154486,9.11436791154486
"59",59,"Merger by absorption","2019-01-21","1979-02-01",40,0,6456.87843921961,0.0000207247061740255,0.000072227022356626,1.53971811210714,1702000,0.00802646564347307,4911000,0.268375260511493,"Large",0.0395590092428316,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,5822666.66666667,-9.53569631121997,-10.7841840344125,8.77290126624817,8.77290126624817
"60",60,"Merger by absorption","2021-12-31","1949-01-20",73,0,7578.99356348742,0.00000382165605095541,0.00000448288353559138,1.15481796775946,9666.66666666667,0.0094962362478286,73333.3333333333,0.382628836132021,"Large",0.00111947500482532,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,115666.666666667,-12.3152440722515,-12.4748267080964,8.93313569455549,8.93313569455549
"61",61,"Merger by absorption","2018-12-31","1997-06-30",22,0,2786.38216255095,0.000269402856651179,0.000430220308707003,1.57312325379013,787666.666666667,0.00321229851431194,2379333.33333333,0.473183043652842,"Large",0.0677737624046349,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,0,0,1,0,2396000,-7.75121313465074,-8.21930269029078,7.93249931742024,7.93249931742024
"62",62,"Merger by absorption","2022-01-31","2004-04-08",18,0,2460.68939712829,0.0000872614612635901,0.000173618727073328,1.86223197065386,1014333.33333333,0.00695658785068045,3106333.33333333,0.31371170075268,"Large",0.0578385159279252,"F - Construction",0,0,0,1,0,0,0,1,0,3799000,-8.65864888670974,-9.34660164432158,7.80819683240083,7.80819683240083
"63",63,"Merger by absorption","2019-07-01","1993-07-20",26,0,-14896.1406344716,0.0000986693072530215,0.000148297655453619,0.899123343527013,838666.666666667,0.00617191844928853,2493000,0.298571641730307,"Large",0.0341286743261757,"C - Manufacturing",0,0,0,0,1,0,0,1,0,2869666.66666667,-8.81628911842871,-9.2237366299669,NA,NA
"64",65,"Merger by absorption","2021-09-01","1967-04-12",54,0,-11958.3786724701,0.0000046786020306801,0.0000101629029335705,0.818352522607106,663666.666666667,0.002684319479515,1338000,-0.0105932042736793,"Large",0.0150974013664248,"C - Manufacturing",0,0,0,0,1,0,0,1,0,2278333.33333333,-11.4967664348165,-12.272511204051,NA,NA
"65",66,"Merger by absorption","2021-07-31","1988-12-02",33,0,1368.56195378079,0.0000543054381160316,0.000266670798215171,4.58812592959841,256000,0.00418996176028875,767666.666666667,0.506366975024294,"Large",0.00969244166235471,"F - Construction",0,0,0,0,1,0,0,1,0,1282333.33333333,-8.22949562577758,-9.82088618657249,7.22151579876094,7.22151579876094
"66",67,"Merger by absorption","2019-12-02","1986-12-08",33,0,2345.39347408829,0.0000984082818445927,0.000235438081253059,2.02006852667646,772666.666666667,0.021318384549286,2743333.33333333,0.466283399484431,"Large",0.0474241990261467,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,2804333.33333333,-8.354062603694,-9.22638559236042,7.76020845959293,7.76020845959293
"67",68,"Merger by absorption","2019-03-29","2003-03-28",16,0,6320.77189149827,0.0000803283410138249,0.000111895687061184,1.26242728184554,203000,0.00757488479262673,506333.333333333,0.619815668202765,"Large",0.0175403225806452,"N - Administrative and support service activities",0,0,0,0,1,0,0,1,0,626333.333333333,-9.09794348618469,-9.42938806012893,8.7515966144138,8.7515966144138
"68",69,"Liquidation","2020-10-13","1981-07-14",39,4,1588.13833613042,0.0000260034344158662,0.00012179600494962,3.94926639561605,359000,0.00845394674768366,-137333.333333333,0.410563659351235,"Large",0.0203234389447663,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,0,0,1,0,451000,-9.01316300331163,-10.5572819357484,7.37031775144518,7.37031775144518
"69",70,"Merger by absorption","2021-07-31","1989-12-22",32,0,1142.15504001293,0.0000895000566187295,0.000997161331020344,10.7546128370919,233333.333333333,0.00249122409693126,581000,0.36746970897973,"Large",0.00990827765824935,"C - Manufacturing",0,0,0,0,1,0,0,1,0,959000,-6.91059798462356,-9.32127130007216,7.04067214283384,7.04067214283384
"70",71,"End of suspension","2020-03-19","1967-02-15",53,6,26311.8536197295,0.00000374916853117252,0.00000450401365733174,1.04565762231666,155666.666666667,0.0127743847130677,636666.666666667,0.317515268791196,"Large",0.00705992622603858,"F - Construction",0,0,0,1,0,0,0,1,0,768000,-12.3105416348642,-12.4939764675872,10.177774824602,10.177774824602
"71",72,"Merger by absorption","2022-05-20","1988-03-14",34,0,-11768.1619690353,0.0000342396437727702,0.0000534857985983032,0.867313063181746,131666.666666667,0.00863581163135879,463000,0.406861422210228,"Large",0.0133247874780731,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,0,0,1,0,784666.666666667,-9.83609438606023,-10.2821264105775,NA,NA
"72",73,"Merger by absorption","2020-10-30","1990-12-28",30,0,1685.23725834798,0.000330482844926478,0.00111466760464298,3.00123109391488,623666.666666667,0.00276358327249974,1928666.66666667,0.410574616748357,"Large",0.0975597038273021,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,1983666.66666667,-6.79919903094222,-8.0149558064449,7.42966163901544,7.42966163901544
"73",74,"Merger by absorption","2021-06-30","2002-09-30",19,0,2425.3964440173,0.0000527514983406806,0.000104401529261837,1.81590040192138,93333.3333333333,0.00926246966169696,287666.666666667,0.316211798504136,"Large",0.0138689385308832,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,1,0,431666.666666667,-9.16726623452113,-9.84991838144884,7.79375027207884,7.79375027207884
