"","index","status","end_date","start_date","years_to_event","event_indicator","total_liabilities_by_net_assets","cash_by_total_assets","cash_by_current_liabilities","current_assets_by_current_liabilities","tax","financial_expenses_by_total_assets","EBIT","working_capital_by_total_assets","size_classification","income_tax_by_total_assets","sector","cooperative","nonprofit","other","private","public","censor","size_small","size_large","size_v_large","EBITDA","log_cash_by_current_liabilities","log_cash_by_total_assets","log_total_liabilities_by_net_assets","log_total_liabilities_by_total_assets"
"7967",8003,"Bankruptcy","2021-06-14 00:00:00.000000000","2012-05-22",9,2,-2367.05577172503,0.00011013698630137,0.000176470588235294,0.321334503950834,37500,0.0202739726027397,18000,-0.188219178082192,"Small",0.0616438356164384,"I - Accommodation and food service activities",0,0,0,1,0,1,1,0,0,118333.333333333,-8.64235633437024,-9.11378563693965,NA,NA
"7968",8004,"Bankruptcy","2019-12-30 00:00:00.000000000","2012-05-11",7,2,4692.98245614035,0.000429906542056075,0.000619946091644205,1.43126684636119,35500,0.0336448598130841,-87333.3333333333,0.54392523364486,"Small",0.199065420560748,"N - Administrative and support service activities",0,0,0,1,0,1,1,0,0,-86666.6666666667,-7.38587803266638,-7.75194271695495,8.45382357748365,8.45382357748365
"7969",8005,"Liquidation","2021-09-28 00:00:00.000000000","2012-05-24",9,4,2934.9593495935,0.000401662049861496,0.000895061728395062,1.76543209876543,3000,0.00831024930747922,-2000,0.186980609418283,"Small",0.0249307479224377,"I - Accommodation and food service activities",0,0,0,1,0,0,1,0,0,2666.66666666667,-7.01861787179395,-7.81989949489444,7.9844488819426,7.9844488819426
"7970",8006,"Bankruptcy","2021-10-26 00:00:00.000000000","2012-05-29",9,2,14142.8571428571,0,0,1.08764940239044,5000,0.0841750841750842,10666.6666666667,0.572390572390572,"Small",0.0505050505050505,"H - Transportation and storage",0,0,0,1,0,1,1,0,0,13000,-17.6893192769552,-18.7575546855936,9.55696498006141,9.55696498006141
"7971",8007,"Liquidation","2022-06-29 00:00:00.000000000","2012-05-24",10,4,1349.44237918216,0.000763085399449036,0.0034625,4.3625,17333.3333333333,0.00275482093663912,51666.6666666667,0.0330578512396694,"Small",0.0716253443526171,"C - Manufacturing",0,0,0,1,0,0,1,0,0,61000,-5.66576440746868,-7.17814060705965,7.20744673364515,7.20744673364515
"7972",8008,"Bankruptcy","2022-05-17 00:00:00.000000000","2012-05-24",10,2,-37555.5555555556,0.0000562130177514793,0.0000671378091872792,0.968197879858657,0,0.0207100591715976,-28000,0.562130177514793,"Small",0,"F - Construction",0,0,0,1,0,1,1,0,0,-16000,-9.60876319745893,-9.78636219529871,NA,NA
"7973",8009,"Bankruptcy","2022-07-29 00:00:00.000000000","2012-05-31",10,2,3294.44444444444,0.000106239460370995,0.000386503067484663,3.54601226993865,2333.33333333333,0.0101180438448567,8333.33333333333,0.0876897133220911,"Small",0.0118043844856661,"C - Manufacturing",0,0,0,1,0,1,1,0,0,10666.6666666667,-7.85837075339737,-9.14981495158833,8.09999282708965,8.09999282708965
"7974",8010,"Bankruptcy","2022-03-22 00:00:00.000000000","2012-06-11",10,2,4579.54545454545,0.0000570719602977668,0.0000991379310344828,1.37931034482759,5333.33333333333,0.0595533498759305,23000,0.0818858560794045,"Small",0.0397022332506203,"I - Accommodation and food service activities",0,0,0,1,0,1,1,0,0,31333.3333333333,-9.2189984347193,-9.77119762499967,8.42935502645061,8.42935502645061
"7975",8011,"Bankruptcy","2022-05-02 00:00:00.000000000","2012-06-08",10,2,-3680.85106382979,0.000346820809248555,0.000342857142857143,0.731428571428571,1000,0.0578034682080925,-9666.66666666667,-0.161849710982659,"Small",0.0173410404624277,"I - Accommodation and food service activities",0,0,0,1,0,1,1,0,0,-4000,-7.97819669068355,-7.96670231125782,NA,NA
"7976",8012,"Liquidation","2022-06-20 00:00:00.000000000","2012-06-01",10,4,6268.17042606516,0.000187125149940024,0.000972972972972973,5.0977130977131,95000,0.0499800079968013,315333.333333333,0.093562574970012,"Small",0.113954418232707,"Q - Human health and social work activities",0,0,0,1,0,0,1,0,0,285333.333333333,-6.93515425317025,-8.58373291394211,8.74323979296989,8.74323979296989
